Customer_ID,Segment,Age,Gender,Occupation,Income_Band,Immigration_Status,Region,Household_Size,Relationship_Status,Years_With_Bank,Has_Direct_Deposit,Churn_Flag,Product_Count,Total_Balance,Monthly_Revenue,CLV_5yr,Primary_Bank_Score,Churn_Risk_Score,Churn_Risk_Tier,Churn_Probability_Model,Predicted_Churn,Model_Risk_Band,NPS_Score,CSAT_Score,Mobile_Usage_Score,Monthly_Logins
1000001,Young Professionals,25,Female,Sales Manager,$50K-$75K,Temporary Resident,Downtown Toronto,5,Common-law,6.72,0,0,6.0,52967.78,332.84,12299.83,70.0,20.0,Low,0.32622212,0,Medium,23,4.5,74.6,13
1000002,Young Professionals,37,Female,Nurse,$100K-$150K,Permanent Resident,Richmond Hill,2,Single,5.72,1,1,8.0,149998.47,909.4,33606.14,100.0,0.0,Low,0.63143027,1,Critical,45,4.2,71.6,16
1000003,Young Professionals,37,Female,Sales Manager,$100K-$150K,Permanent Resident,Other GTA,4,Common-law,9.57,1,0,6.0,438107.11,1237.42,45727.86,85.0,0.0,Low,0.15438202,0,Medium,46,4.9,86.1,5
1000004,Young Professionals,31,Female,Software Engineer,$100K-$150K,Temporary Resident,Other GTA,2,Single,2.53,1,0,3.0,47427.64,160.74,5940.02,100.0,0.0,Low,0.40879902,1,High,25,2.7,88.1,24
1000005,Young Professionals,31,Male,Financial Analyst,$75K-$100K,Temporary Resident,Etobicoke,4,Married,7.27,1,0,4.0,68582.78,566.58,20937.51,100.0,0.0,Low,0.2661084,0,Medium,43,3.6,89.9,21
1000006,Young Professionals,30,Male,Sales Manager,$50K-$75K,Temporary Resident,Downtown Toronto,1,Single,5.97,0,0,7.0,72849.03,549.9599999999999,20323.33,70.0,20.0,Low,0.26160628,0,Medium,59,3.1,68.0,19
1000007,Young Professionals,31,Male,Engineer,$75K-$100K,Permanent Resident,Downtown Toronto,1,Married,11.77,1,0,5.0,62183.9,393.56,14543.69,100.0,0.0,Low,0.22900553,0,Medium,57,4.0,82.2,32
1000008,Young Professionals,25,Female,Sales Manager,$50K-$75K,Permanent Resident,Scarborough,1,Married,9.61,1,0,3.0,4660.280000000001,52.08,1924.57,100.0,0.0,Low,0.31932715,0,Medium,40,3.5,82.1,14
1000009,Young Professionals,39,Male,Sales Manager,$100K-$150K,Canadian Born,North York,3,Married,3.7,0,0,6.0,341430.49,799.0799999999999,29529.36,70.0,20.0,Low,0.2677269,0,Medium,30,2.9,92.7,21
1000010,Young Professionals,30,Male,Nurse,$75K-$100K,Canadian Born,Downtown Toronto,3,Married,12.26,1,0,6.0,47638.02,238.43,8810.99,100.0,0.0,Low,0.21538658,0,Medium,39,3.6,83.3,17
1000011,Young Professionals,39,Male,Financial Analyst,$50K-$75K,Permanent Resident,Scarborough,3,Single,10.52,1,0,4.0,55080.5,364.56,13472.02,100.0,0.0,Low,0.24281791,0,Medium,39,3.5,68.5,28
1000012,Young Professionals,29,Female,HR Specialist,$75K-$100K,Canadian Born,Other GTA,3,Married,13.65,1,0,6.0,64975.11,321.68,11887.42,100.0,0.0,Low,0.22337289,0,Medium,55,4.7,85.8,16
1000013,Young Professionals,25,Male,Software Engineer,$100K-$150K,Canadian Born,Scarborough,2,Single,13.56,0,0,4.0,72079.24,274.78,10154.27,70.0,20.0,Low,0.1672222,0,Medium,48,2.6,81.1,19
1000014,Young Professionals,31,Female,Engineer,$50K-$75K,Permanent Resident,Brampton,1,Married,6.62,1,0,5.0,70199.3,362.94,13412.15,100.0,0.0,Low,0.3204853,0,Medium,21,4.5,85.3,18
1000015,Young Professionals,27,Male,Marketing Manager,$50K-$75K,Permanent Resident,Downtown Toronto,4,Married,2.38,1,0,6.0,358388.35,891.92,32960.18,100.0,0.0,Low,0.14789146,0,Low,66,2.9,92.1,23
1000016,Young Professionals,28,Female,Software Engineer,$75K-$100K,Temporary Resident,Downtown Toronto,2,Married,14.39,0,0,4.0,53890.8,260.87,9640.24,70.0,20.0,Low,0.26288044,0,Medium,68,4.8,76.8,12
1000017,Young Professionals,32,Male,Nurse,$75K-$100K,Permanent Resident,Etobicoke,1,Common-law,4.19,0,0,5.0,76020.75,438.77,16214.39,70.0,20.0,Low,0.30328986,0,Medium,34,3.7,100.0,19
