Customer_ID,Product,Balance,Monthly_Revenue_Estimate,Open_Date
1000001,Chequing,8220.15,12.67,2018-04-16
1000001,Savings,0.0,0.0,2018-04-16
1000001,Credit Card,1260.3,24.33,2018-04-16
1000001,Personal Loan,21334.91,216.45,2018-04-16
1000001,TFSA,4326.03,23.22,2018-04-16
1000001,RRSP,17826.39,56.17,2018-04-16
1000002,Chequing,2717.34,3.69,2019-04-16
1000002,Savings,6100.93,12.19,2019-04-16
1000002,Credit Card,3159.64,53.17,2019-04-16
1000002,Personal Loan,25905.62,209.24,2019-04-16
1000002,TFSA,21292.03,161.74,2019-04-16
1000002,RRSP,47912.12,289.25,2019-04-16
1000002,GIC,10169.07,51.89,2019-04-16
1000002,Investment Account,32741.72,128.23,2019-04-16
1000003,Chequing,423.43,5.34,2015-06-10
1000003,Savings,3758.9,6.97,2015-06-10
1000003,Credit Card,3363.97,78.05,2015-06-10
1000003,Mortgage,362708.83,714.86,2015-06-10
1000003,RRSP,7445.38,51.81,2015-06-10
1000003,Investment Account,60406.6,380.39,2015-06-10
1000004,Chequing,1579.66,5.81,2022-06-23
1000004,TFSA,15665.64,61.56,2022-06-23
1000004,RRSP,30182.34,93.37,2022-06-23
1000005,Chequing,915.64,4.17,2017-09-27
1000005,Credit Card,4438.14,104.58,2017-09-27
1000005,TFSA,43355.5,332.73,2017-09-27
1000005,RRSP,19873.5,125.1,2017-09-27
1000006,Chequing,141.7,12.41,2019-01-14
1000006,Savings,12936.69,36.54,2019-01-14
1000006,Credit Card,4187.74,97.74,2019-01-14
1000006,Line of Credit,29860.4,287.9,2019-01-14
1000006,TFSA,0.0,0.0,2019-01-14
1000006,RRSP,23765.96,106.05,2019-01-14
1000006,Investment Account,1956.54,9.32,2019-01-14
1000007,Chequing,5539.27,11.54,2013-03-29
1000007,Savings,6473.39,13.65,2013-03-29
1000007,Credit Card,5892.58,142.94,2013-03-29
1000007,RRSP,13028.79,49.16,2013-03-29
1000007,Investment Account,31249.87,176.27,2013-03-29
1000008,Chequing,0.0,8.68,2015-05-27
1000008,Savings,2985.86,6.22,2015-05-27
1000008,Credit Card,1674.42,37.18,2015-05-27
1000009,Chequing,3885.3,8.79,2021-04-22
1000009,Savings,5882.9,16.49,2021-04-22
1000009,Mortgage,283513.06,540.41,2021-04-22
1000009,TFSA,11339.29,34.6,2021-04-22
1000009,RRSP,15294.0,78.21,2021-04-22
1000009,Investment Account,21515.94,120.58,2021-04-22
1000010,Chequing,2547.72,12.25,2012-10-02
1000010,Savings,11525.57,15.09,2012-10-02
1000010,Credit Card,1315.54,27.03,2012-10-02
1000010,Line of Credit,7920.66,69.68,2012-10-02
1000010,TFSA,11239.33,65.84,2012-10-02
1000010,RRSP,13089.2,48.54,2012-10-02
1000011,Chequing,3945.92,15.48,2014-06-29
1000011,Savings,6335.6,6.92,2014-06-29
1000011,Credit Card,748.06,12.76,2014-06-29
1000011,RRSP,44050.92,329.4,2014-06-29
1000012,Chequing,3351.4,8.01,2011-05-13
1000012,Savings,4085.56,5.61,2011-05-13
1000012,Line of Credit,12884.03,90.27,2011-05-13
1000012,TFSA,19621.81,81.42,2011-05-13
1000012,RRSP,4615.81,19.17,2011-05-13
1000012,GIC,20416.5,117.2,2011-05-13
1000013,Chequing,3799.27,4.98,2011-06-15
1000013,Savings,18237.07,23.07,2011-06-15
1000013,TFSA,16291.61,75.74,2011-06-15
1000013,RRSP,33751.29,170.99,2011-06-15
